name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
"Samsung Z FLIP 6 - 6.7"" - 12 GB + 256 GB + Free Flipsuit case + Single wireless charger + Powerbank - Yellow",samsung,Z Flip 6,14490.0,Dhs,,,,,https://www.jumia.ma/samsung-z-flip-6-6.7-12-gb-256-gb-free-flipsuit-case-single-wireless-charger-powerbank-yellow-65584087.html,jumia_ma,2026-04-21T19:26:43.329803
"Samsung Galaxy S23FE - 6.4"" - 8GB + 256GB - Cream",samsung,S23,7249.0,Dhs,,,5,2,https://www.jumia.ma/samsung-galaxy-s23fe-6.4-8gb-256gb-cream-64158925.html,jumia_ma,2026-04-21T19:26:43.330762
"Samsung Galaxy S25 - 6,2"" - 256 Go - 12 Go Ram - Navy",samsung,S25,11490.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-62-256-go-12-go-ram-navy-66067158.html,jumia_ma,2026-04-21T19:26:43.332662
Samsung Galaxy A16 – 128 Go ROM – 4 Go RAM – Black – Double SIM,samsung,Unknown,1669.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a16-128-go-rom-4-go-ram-black-double-sim-67766961.html,jumia_ma,2026-04-21T19:26:43.334124
"Samsung Galaxy A06 – 6,7"" HD+ – 6 Go RAM – 128 Go ROM – Double SIM – Batterie Longue Durée – Noir Élégant+ les écouteurs cadeaux",samsung,A06,1520.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a06-67-hd-6-go-ram-128-go-rom-double-sim-batterie-longue-duree-noir-elegant-les-ecouteurs-cadeaux-67200296.html,jumia_ma,2026-04-21T19:26:43.335254
Samsung Galaxy A26 5G – 256 Go ROM – 8 Go RAM – White – Double SIM,samsung,Unknown,2765.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a26-5g-256-go-rom-8-go-ram-white-double-sim-67764513.html,jumia_ma,2026-04-21T19:26:43.337509
Samsung Galaxy S25 Ultra - 6.9'' - 256 Go - 12 Go RAM - Titanium Silverblue,samsung,S25 Ultra,16490.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-ultra-6.9-256-go-12-go-ram-titanium-silverblue-66067141.html,jumia_ma,2026-04-21T19:26:43.338763
"Samsung A05 – 6.7"" – 64 Go – 4 Go RAM – IPS LCD – 5000 mAh – 50MP – Noir",samsung,A05,1449.0,Dhs,,,,,https://www.jumia.ma/samsung-a05-6.7-64-go-4-go-ram-ips-lcd-5000-mah-50mp-noir-64881531.html,jumia_ma,2026-04-21T19:26:43.340783
"Samsung Galaxy S26 – 6,3"" – 12GB RAM + 512 GB ROM – Sky Blue",samsung,Unknown,11299.0,Dhs,11990.0,6%,,,https://www.jumia.ma/samsung-galaxy-s26-63-12gb-ram-512-gb-rom-sky-blue-67758542.html,jumia_ma,2026-04-21T19:26:47.780952
"Samsung  A06 6.7"" (128GB - 6GB) Helio G85 - 5000 mAh/25W - 50MP + Adapter - Black",samsung,A06,1489.0,Dhs,1599.0,7%,,,https://www.jumia.ma/samsung-a06-6.7-128gb-6gb-helio-g85-5000-mah25w-50mp-adapter-black-65972129.html,jumia_ma,2026-04-21T19:26:47.781711
